ts,server_id,mem_pct
20:53:00,server_20,63.02
20:53:00,server_19,82.47
20:53:00,server_18,45.06
20:53:00,server_17,53.14
20:53:00,server_16,78.9
20:53:00,server_14,45.81
20:53:00,server_13,83.0
20:53:00,server_12,93.27
20:53:00,server_11,60.55
20:53:00,server_15,60.64
20:53:00,server_9,51.15
20:53:00,server_8,96.15
20:53:00,server_7,28.79
20:53:00,server_6,64.06
20:53:00,server_5,42.7
20:53:00,server_4,0.28
20:53:00,server_3,10.16
20:53:00,server_2,58.72
20:53:00,server_10,55.7
20:53:05,server_13,91.88
20:53:05,server_14,29.29
20:53:05,server_15,48.42
20:53:05,server_16,45.96
20:53:05,server_20,53.24
20:53:05,server_18,45.59
20:53:05,server_19,94.83
20:53:05,server_12,83.59
20:53:05,server_17,40.68
20:53:05,server_11,88.89
20:53:05,server_5,41.43
20:53:05,server_9,16.23
20:53:05,server_10,57.38
20:53:05,server_2,48.07
20:53:05,server_3,84.26
20:53:05,server_4,47.99
20:53:05,server_1,49.98
20:53:05,server_6,37.25
20:53:05,server_7,45.11
20:53:05,server_8,12.79
20:53:10,server_20,56.43
20:53:10,server_19,33.27
20:53:10,server_18,42.55
20:53:10,server_17,38.03
20:53:10,server_16,16.73
20:53:10,server_14,8.4
20:53:10,server_13,87.55
20:53:10,server_12,73.02
20:53:10,server_11,89.51
20:53:10,server_15,40.73
20:53:10,server_9,28.33
20:53:10,server_2,69.19
20:53:10,server_3,45.64
20:53:10,server_4,30.77
20:53:10,server_5,43.55
20:53:10,server_1,3.18
20:53:10,server_6,43.51
20:53:10,server_7,44.74
20:53:10,server_8,60.37
20:53:10,server_10,88.9
20:53:15,server_12,72.67
20:53:15,server_19,49.56
20:53:15,server_18,1.42
20:53:15,server_17,50.56
20:53:15,server_16,33.49
20:53:15,server_15,48.08
20:53:15,server_14,38.26
20:53:15,server_13,11.81
20:53:15,server_11,17.93
20:53:15,server_20,27.87
20:53:15,server_9,20.34
20:53:15,server_1,20.62
20:53:15,server_2,63.78
20:53:15,server_3,61.15
20:53:15,server_4,48.91
20:53:15,server_10,48.51
20:53:15,server_6,40.93
20:53:15,server_7,28.58
20:53:15,server_8,34.51
20:53:15,server_5,55.61
20:53:20,server_11,54.8
20:53:20,server_19,80.21
20:53:20,server_18,22.48
20:53:20,server_17,46.08
20:53:20,server_16,35.95
20:53:20,server_15,14.72
20:53:20,server_14,23.54
20:53:20,server_13,93.91
20:53:20,server_12,63.24
20:53:20,server_20,82.34
20:53:20,server_10,58.42
20:53:20,server_8,33.85
20:53:20,server_7,58.22
20:53:20,server_6,51.17
20:53:20,server_5,46.73
20:53:20,server_4,69.77
20:53:20,server_3,67.93
20:53:20,server_2,99.12
20:53:20,server_1,48.9
20:53:20,server_9,50.39
20:53:25,server_13,56.99
20:53:25,server_14,32.31
20:53:25,server_16,88.13
20:53:25,server_12,55.9
20:53:25,server_18,92.0
20:53:25,server_19,63.07
20:53:25,server_20,39.87
20:53:25,server_17,53.23
20:53:25,server_11,51.28
20:53:25,server_15,43.32
20:53:25,server_9,65.87
20:53:25,server_1,90.17
20:53:25,server_2,81.66
20:53:25,server_3,27.13
20:53:25,server_4,32.7
20:53:25,server_10,96.76
20:53:25,server_6,72.35
20:53:25,server_7,93.21
20:53:25,server_8,51.54
20:53:25,server_5,29.17
20:53:30,server_20,41.4
20:53:30,server_19,37.62
20:53:30,server_18,96.2
20:53:30,server_17,58.59
20:53:30,server_16,65.94
20:53:30,server_15,97.75
20:53:30,server_14,62.82
20:53:30,server_12,95.28
20:53:30,server_11,52.78
20:53:30,server_13,94.63
20:53:30,server_9,32.02
20:53:30,server_8,24.37
20:53:30,server_7,94.88
20:53:30,server_6,41.85
20:53:30,server_5,32.83
20:53:30,server_4,55.21
20:53:30,server_3,55.17
20:53:30,server_2,45.44
20:53:30,server_10,49.41
20:53:30,server_1,18.39
20:53:35,server_13,49.57
20:53:35,server_14,81.64
20:53:35,server_15,78.14
20:53:35,server_16,24.54
20:53:35,server_20,31.85
20:53:35,server_18,83.42
20:53:35,server_19,86.8
20:53:35,server_12,93.14
20:53:35,server_17,60.72
20:53:35,server_11,49.88
20:53:35,server_3,24.64
20:53:35,server_9,35.27
20:53:35,server_8,96.96
20:53:35,server_7,37.7
20:53:35,server_6,89.55
20:53:35,server_5,84.4
20:53:35,server_4,52.36
20:53:35,server_2,58.07
20:53:35,server_1,48.46
20:53:35,server_10,28.42
20:53:40,server_12,83.59
20:53:40,server_13,64.06
20:53:40,server_14,27.76
20:53:40,server_15,85.84
20:53:40,server_19,33.66
20:53:40,server_17,43.73
20:53:40,server_18,68.91
20:53:40,server_11,49.72
20:53:40,server_16,91.59
20:53:40,server_20,28.74
20:53:40,server_10,72.46
20:53:40,server_8,61.96
20:53:40,server_1,40.97
20:53:40,server_2,44.12
20:53:40,server_3,60.56
20:53:40,server_9,48.46
20:53:40,server_5,65.25
20:53:40,server_6,97.93
20:53:40,server_7,80.44
20:53:40,server_4,20.58
20:53:45,server_13,30.33
20:53:45,server_20,95.58
20:53:45,server_19,59.46
20:53:45,server_18,14.57
20:53:45,server_17,10.44
20:53:45,server_16,14.44
20:53:45,server_15,43.95
20:53:45,server_14,29.95
20:53:45,server_12,81.94
20:53:45,server_11,10.84
20:53:45,server_1,37.08
20:53:45,server_9,34.9
20:53:45,server_8,70.89
20:53:45,server_7,31.06
20:53:45,server_6,32.13
20:53:45,server_5,43.84
20:53:45,server_4,92.29
20:53:45,server_3,97.17
20:53:45,server_2,44.21
20:53:45,server_10,37.81
20:53:50,server_13,47.16
20:53:50,server_14,67.7
20:53:50,server_15,30.53
20:53:50,server_16,17.11
20:53:50,server_12,45.78
20:53:50,server_18,92.82
20:53:50,server_19,30.96
20:53:50,server_20,51.98
20:53:50,server_17,50.81
20:53:50,server_11,32.93
20:53:50,server_1,41.69
20:53:50,server_9,41.47
20:53:50,server_8,30.85
20:53:50,server_7,51.64
20:53:50,server_6,41.84
20:53:50,server_5,21.62
20:53:50,server_4,97.74
20:53:50,server_3,88.61
20:53:50,server_2,35.57
20:53:50,server_10,38.73
20:53:55,server_13,84.05
20:53:55,server_14,83.66
20:53:55,server_15,46.83
20:53:55,server_16,56.7
20:53:55,server_20,27.39
20:53:55,server_18,57.62
20:53:55,server_19,81.35
20:53:55,server_12,35.4
20:53:55,server_17,43.08
20:53:55,server_11,46.92
20:53:55,server_5,16.76
20:53:55,server_9,86.1
20:53:55,server_2,86.65
20:53:55,server_3,52.21
20:53:55,server_4,55.42
20:53:55,server_1,5.03
20:53:55,server_6,99.53
20:53:55,server_7,51.78
20:53:55,server_8,89.66
20:53:55,server_10,39.06
20:54:00,server_12,93.74
20:54:00,server_19,26.83
20:54:00,server_18,60.55
20:54:00,server_17,29.76
20:54:00,server_16,38.68
20:54:00,server_15,58.87
20:54:00,server_14,95.09
20:54:00,server_13,58.86
20:54:00,server_11,10.13
20:54:00,server_20,80.73
20:54:00,server_9,37.52
20:54:00,server_1,67.46
20:54:00,server_2,21.85
20:54:00,server_3,65.42
20:54:00,server_4,96.34
20:54:00,server_10,38.53
20:54:00,server_6,98.21
20:54:00,server_7,31.29
20:54:00,server_8,45.62
20:54:00,server_5,8.34
20:54:05,server_11,58.31
20:54:05,server_19,34.06
20:54:05,server_18,69.09
20:54:05,server_17,56.13
20:54:05,server_16,54.28
20:54:05,server_15,96.88
20:54:05,server_14,85.34
20:54:05,server_13,30.76
