ts,server_id,cpu_pct
20:53:00,server_20,59.83
20:53:00,server_19,93.62
20:53:00,server_18,42.17
20:53:00,server_17,43.66
20:53:00,server_16,65.36
20:53:00,server_14,52.35
20:53:00,server_13,69.27
20:53:00,server_12,86.13
20:53:00,server_11,44.98
20:53:00,server_15,59.76
20:53:00,server_9,41.89
20:53:00,server_8,96.83
20:53:00,server_7,92.79
20:53:00,server_6,49.39
20:53:00,server_5,52.25
20:53:00,server_4,83.53
20:53:00,server_3,20.09
20:53:00,server_2,58.83
20:53:00,server_10,64.15
20:53:05,server_13,97.27
20:53:05,server_14,30.2
20:53:05,server_15,56.8
20:53:05,server_16,69.89
20:53:05,server_20,38.06
20:53:05,server_18,28.33
20:53:05,server_19,85.8
20:53:05,server_12,27.36
20:53:05,server_17,24.45
20:53:05,server_11,17.21
20:53:05,server_5,57.49
20:53:05,server_9,85.6
20:53:05,server_10,69.37
20:53:05,server_2,38.14
20:53:05,server_3,45.43
20:53:05,server_4,43.25
20:53:05,server_1,77.57
20:53:05,server_6,63.03
20:53:05,server_7,39.58
20:53:05,server_8,26.02
20:53:10,server_20,42.89
20:53:10,server_19,41.92
20:53:10,server_18,63.31
20:53:10,server_17,42.32
20:53:10,server_16,93.01
20:53:10,server_14,98.85
20:53:10,server_13,94.04
20:53:10,server_12,68.01
20:53:10,server_11,99.86
20:53:10,server_15,20.83
20:53:10,server_9,40.9
20:53:10,server_2,47.06
20:53:10,server_3,45.81
20:53:10,server_4,36.48
20:53:10,server_5,47.39
20:53:10,server_1,92.59
20:53:10,server_6,48.77
20:53:10,server_7,25.66
20:53:10,server_8,58.48
20:53:10,server_10,18.01
20:53:15,server_12,54.27
20:53:15,server_19,62.17
20:53:15,server_18,99.71
20:53:15,server_17,77.33
20:53:15,server_16,23.14
20:53:15,server_15,53.38
20:53:15,server_14,23.67
20:53:15,server_13,21.6
20:53:15,server_11,81.85
20:53:15,server_20,24.66
20:53:15,server_9,26.05
20:53:15,server_1,99.53
20:53:15,server_2,54.47
20:53:15,server_3,50.73
20:53:15,server_4,51.97
20:53:15,server_10,35.16
20:53:15,server_6,50.21
20:53:15,server_7,38.61
20:53:15,server_8,50.15
20:53:15,server_5,45.69
20:53:20,server_11,43.67
20:53:20,server_19,89.1
20:53:20,server_18,87.24
20:53:20,server_17,21.3
20:53:20,server_16,24.43
20:53:20,server_15,85.73
20:53:20,server_14,44.2
20:53:20,server_13,91.9
20:53:20,server_12,51.31
20:53:20,server_20,14.87
20:53:20,server_10,71.63
20:53:20,server_8,29.49
