ts,server_id,disk_io
20:53:00,server_20,137.35
20:53:00,server_19,60.24
20:53:00,server_18,0.0
20:53:00,server_17,143.8
20:53:00,server_16,100.43
20:53:00,server_14,120.83
20:53:00,server_13,59.14
20:53:00,server_12,88.08
20:53:00,server_11,1285.88
20:53:00,server_15,91.03
20:53:00,server_9,760.3
20:53:00,server_8,46.4
20:53:00,server_7,54.51
20:53:00,server_6,1407.3
20:53:00,server_5,1366.47
20:53:00,server_4,16.84
20:53:00,server_3,45.2
20:53:00,server_2,91.23
20:53:00,server_10,1791.25
20:53:05,server_13,57.08
20:53:05,server_14,34.0
20:53:05,server_15,9.01
20:53:05,server_16,177.97
20:53:05,server_20,11.42
20:53:05,server_18,0.0
20:53:05,server_19,81.26
20:53:05,server_12,107.69
20:53:05,server_17,9449.14
20:53:05,server_11,39.39
20:53:05,server_5,1155.94
20:53:05,server_9,29.13
20:53:05,server_10,596.4
20:53:05,server_2,6.2
20:53:05,server_3,160.15
20:53:05,server_4,0.0
20:53:05,server_1,58.14
20:53:05,server_6,38.65
20:53:05,server_7,0.0
20:53:05,server_8,0.0
20:53:10,server_20,58.69
20:53:10,server_19,6972.0
20:53:10,server_18,1469.91
20:53:10,server_17,96.81
20:53:10,server_16,48.54
20:53:10,server_14,56.93
20:53:10,server_13,0.0
20:53:10,server_12,77.9
20:53:10,server_11,115.03
20:53:10,server_15,0.0
20:53:10,server_9,6123.76
20:53:10,server_2,39.19
20:53:10,server_3,0.0
20:53:10,server_4,89.14
20:53:10,server_5,94.93
20:53:10,server_1,104.15
20:53:10,server_6,5985.86
20:53:10,server_7,7262.68
20:53:10,server_8,1689.76
20:53:10,server_10,120.32
20:53:15,server_12,80.04
20:53:15,server_19,157.06
20:53:15,server_18,140.39
20:53:15,server_17,94.15
20:53:15,server_16,6978.78
20:53:15,server_15,55.56
20:53:15,server_14,5319.72
20:53:15,server_13,0.0
20:53:15,server_11,0.0
20:53:15,server_20,49.58
20:53:15,server_9,54.44
20:53:15,server_1,59.72
20:53:15,server_2,143.73
20:53:15,server_3,94.12
20:53:15,server_4,63.02
20:53:15,server_10,8877.16
20:53:15,server_6,1640.43
20:53:15,server_7,5645.1
20:53:15,server_8,145.97
20:53:15,server_5,67.8
20:53:20,server_11,9.44
20:53:20,server_19,102.18
20:53:20,server_18,0.0
20:53:20,server_17,70.76
20:53:20,server_16,5696.0
20:53:20,server_15,0.21
20:53:20,server_14,4191.8
20:53:20,server_13,162.42
20:53:20,server_12,10.38
20:53:20,server_20,56.81
20:53:20,server_10,149.76
20:53:20,server_8,8251.2
20:53:20,server_7,149.45
20:53:20,server_6,92.24
20:53:20,server_5,0.0
20:53:20,server_4,1969.84
20:53:20,server_3,27.82
20:53:20,server_2,0.0
20:53:20,server_1,5158.26
20:53:20,server_9,43.24
20:53:25,server_13,94.77
20:53:25,server_14,78.73
20:53:25,server_16,9.68
20:53:25,server_12,1853.28
20:53:25,server_18,0.0
20:53:25,server_19,46.78
20:53:25,server_20,8704.61
20:53:25,server_17,1528.18
20:53:25,server_11,24.31
20:53:25,server_15,53.34
20:53:25,server_9,1344.77
20:53:25,server_1,115.81
20:53:25,server_2,76.4
20:53:25,server_3,87.25
20:53:25,server_4,38.96
20:53:25,server_10,116.91
20:53:25,server_6,6.07
20:53:25,server_7,116.79
20:53:25,server_8,1247.32
20:53:25,server_5,107.26
20:53:30,server_20,6429.76
20:53:30,server_19,185.96
20:53:30,server_18,143.97
20:53:30,server_17,171.83
20:53:30,server_16,20.58
20:53:30,server_15,120.37
20:53:30,server_14,0.0
20:53:30,server_12,31.36
20:53:30,server_11,95.35
20:53:30,server_13,85.38
20:53:30,server_9,18.83
20:53:30,server_8,38.6
20:53:30,server_7,140.75
20:53:30,server_6,0.0
20:53:30,server_5,0.0
20:53:30,server_4,10.7
20:53:30,server_3,5.81
20:53:30,server_2,47.93
20:53:30,server_10,3469.76
20:53:30,server_1,0.0
20:53:35,server_13,118.39
20:53:35,server_14,116.74
20:53:35,server_15,118.3
20:53:35,server_16,74.03
20:53:35,server_20,104.51
20:53:35,server_18,110.65
20:53:35,server_19,53.88
20:53:35,server_12,138.9
20:53:35,server_17,1997.06
20:53:35,server_11,922.16
20:53:35,server_3,175.75
20:53:35,server_9,86.55
20:53:35,server_8,47.32
20:53:35,server_7,3671.76
20:53:35,server_6,21.08
20:53:35,server_5,145.03
20:53:35,server_4,0.0
20:53:35,server_2,74.97
20:53:35,server_1,1351.04
20:53:35,server_10,4616.87
20:53:40,server_12,0.0
20:53:40,server_13,101.93
20:53:40,server_14,43.39
20:53:40,server_15,78.88
20:53:40,server_19,137.49
20:53:40,server_17,8022.46
20:53:40,server_18,42.52
20:53:40,server_11,114.97
20:53:40,server_16,104.89
20:53:40,server_20,36.51
20:53:40,server_10,75.46
20:53:40,server_8,45.63
20:53:40,server_1,8.75
20:53:40,server_2,83.4
20:53:40,server_3,97.9
20:53:40,server_9,902.94
20:53:40,server_5,1609.13
20:53:40,server_6,97.76
20:53:40,server_7,44.05
20:53:40,server_4,23.89
20:53:45,server_13,118.23
20:53:45,server_20,116.42
20:53:45,server_19,153.63
20:53:45,server_18,11.38
20:53:45,server_17,63.44
20:53:45,server_16,101.07
20:53:45,server_15,1410.32
20:53:45,server_14,2.07
20:53:45,server_12,42.36
20:53:45,server_11,32.12
20:53:45,server_1,4305.34
20:53:45,server_9,13.9
20:53:45,server_8,0.0
20:53:45,server_7,82.98
20:53:45,server_6,3424.59
20:53:45,server_5,600.48
20:53:45,server_4,31.64
20:53:45,server_3,63.66
20:53:45,server_2,66.41
20:53:45,server_10,75.63
20:53:50,server_13,4631.46
20:53:50,server_14,976.43
20:53:50,server_15,63.94
20:53:50,server_16,30.49
20:53:50,server_12,1822.01
20:53:50,server_18,33.98
20:53:50,server_19,4.51
20:53:50,server_20,97.93
20:53:50,server_17,8.24
20:53:50,server_11,175.74
20:53:50,server_1,1310.76
20:53:50,server_9,6398.43
20:53:50,server_8,69.34
20:53:50,server_7,125.41
20:53:50,server_6,6217.5
20:53:50,server_5,3624.38
20:53:50,server_4,65.0
20:53:50,server_3,114.89
20:53:50,server_2,8034.65
20:53:50,server_10,8899.3
20:53:55,server_13,73.16
20:53:55,server_14,127.18
20:53:55,server_15,39.6
20:53:55,server_16,17.35
20:53:55,server_20,56.41
20:53:55,server_18,1501.84
20:53:55,server_19,99.91
20:53:55,server_12,184.63
20:53:55,server_17,1998.9
20:53:55,server_11,1751.54
20:53:55,server_5,41.48
20:53:55,server_9,19.89
20:53:55,server_2,80.6
20:53:55,server_3,0.0
20:53:55,server_4,16.68
20:53:55,server_1,72.44
20:53:55,server_6,116.04
20:53:55,server_7,871.69
20:53:55,server_8,58.64
20:53:55,server_10,96.44
20:54:00,server_12,61.96
20:54:00,server_19,188.2
20:54:00,server_18,3.19
20:54:00,server_17,116.74
20:54:00,server_16,1.84
20:54:00,server_15,13.07
20:54:00,server_14,90.04
20:54:00,server_13,858.01
20:54:00,server_11,65.38
20:54:00,server_20,66.15
20:54:00,server_9,75.65
